Afghanistan,Kabul
Albania,Tirana
Angola,Luanda
Argentina,Buenos Aires
Armenia,Yerevan
Australia,Sydney
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Bahrain
Bangladesh,Dhaka
Barbados,Bridgetown
Belgium,Brussels
Bhutan,Thimphu
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Rio de Janeiro
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cambodia,Phnom-penh
Cameroon,Yaounde
Canada,Ottawa
Cape Verde,Praia
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogota
Comoros,Moroni
Costa Rica,San Jose
Cote d'Ivoire,Abidjan
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
Czech Republic,Prague
Congo,Kinshasa
Denmark,Copenhagen
Djibouti,Djibouti
Dominican Republic,Santo Domingo
East Timor,Dili
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Ethiopia,Addis Ababa
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
Gabon,Libreville
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Greece,Athens
Grenada,St George's
Guatemala,Guatemala
Guinea,Conakry
Guyana,Georgetown
Haiti,Port-au-prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Keflavik
India,Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,South Tarawa
Kuwait,Kuwait
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg City
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Male
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Mexico,Mexico City
Micronesia,Palikir
Moldova,Chisinau
France,Nice
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
Nauru,Yaren
Nepal,Kathmandu
Netherlands,Amsterdam
New Zealand,Auckland
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
North Korea,Pyongyang
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Koror
Palestine,Jerusalem
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asuncion
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Republic of Ireland,Dublin
Republic of Macedonia,Skopje
Republic of the Congo,Brazzaville
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saint Lucia,Castries
San Marino,San Marino
Sao Tome and Principe,Sao Tome
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Johannesburg
South Korea,Seoul
South Sudan,Juba
Spain,Madrid
Sudan,Khartoum
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Taiwan,Taipei
Tajikistan,Dushanbe
Tanzania,Dar es Salaam
Thailand,Bangkok
The Gambia,Banjul
Togo,Lome
Tonga,Nuku'alofa
Tunisia,Tunis
Turkey,Istanbul
Turkmenistan,Asgabat
Turks and Caicos,Cockburn Town
Uganda,Kampala
Ukraine,Kiev
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,New York
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Western Sahara,La'youn
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
